species,temp_opt_min,Temp_Opt_Max,Rain_Opt_Min,Rain_Opt_Max,Lat_Opt_Min,Lat_Opt_Max,Alt_Opt_Min,Alt_Opt_Max,pH_Opt_Min,pH_Opt_Max,Light_Opt_Min,Light_Opt_Max,Texture_Ops
Acacia erioloba,15,35,250,700,22,20,---,---,6.5,7.5,clear skies,very bright,light
Acacia falciformis,18,32,600,800,26,17,---,---,5.5,7,very bright,clear skies,"medium, light"
Acacia fasciculifera,18,32,675,800,19,19,---,---,5.5,6.5,very bright,very bright,"medium, light"
Acacia flavescens,22,34,1000,2200,11,11,---,---,5,6.5,very bright,clear skies,"medium, light"
Acacia glaucocaesia,14,30,300,350,19,19,---,---,6.5,7.5,very bright,very bright,medium
Acacia glaucocarpa,18,35,650,800,23,23,---,---,5.5,6.5,very bright,very bright,"medium, light"
Acacia harpophylla,18,28,450,600,20,19,---,---,5.5,7.5,very bright,very bright,heavy
Acacia irrorata,18,32,750,1000,25,25,---,---,5.5,6.5,very bright,clear skies,heavy
Acacia jennerae,12,30,250,300,20,20,---,---,5.5,7,very bright,very bright,light
Acacia jensenii,12,30,300,400,18,18,---,---,5,6,very bright,very bright,light
Acacia julifera ssp. gilbertensis,24,35,800,1000,17,17,---,---,5,6,very bright,clear skies,light
Acacia julifera ssp. julifera,20,32,800,1100,20,20,---,---,5,6,very bright,clear skies,light
Acacia karroo,19,33,400,1300,12,10,---,---,6.5,8.5,clear skies,very bright,"heavy, medium"
Acacia laeta,24,32,300,650,11,11,---,---,5.5,7,very bright,very bright,"medium, light"
Acacia latzii,22,35,150,200,24,24,---,---,7.5,8,very bright,very bright,"medium, light"
Acacia leptocarpa,22,33,750,1500,80,-,---,---,4.5,6,very bright,clear skies,"medium, light"
Acacia leucophloea,22,32,900,1700,-,-,---,---,6,7,very bright,very bright,"heavy, medium, light"
Acacia ligulata,18,33,125,225,17,17,---,---,7,8,very bright,very bright,"medium, light"
Acacia macdonnelliensis,24,33,200,250,21,21,---,---,5,6.5,very bright,very bright,light
Acacia maconochieana,24,36,250,350,25,25,---,---,6.5,7.5,very bright,very bright,heavy
Acacia maidenii,17,32,900,1200,21,21,---,---,5.5,6.5,very bright,clear skies,"heavy, organic"
Acacia mangium,22,34,2000,3000,1,1,---,---,5,6.5,very bright,clear skies,medium
Acacia mearnsii,18,30,700,1600,20,-,---,---,5,6.5,very bright,cloudy skies,"heavy, medium, light"
Acacia melanoxylon,18,22,800,2200,34,17,---,---,6,6.5,very bright,cloudy skies,"medium, light"
Acacia millifera,22,32,450,600,10,10,---,---,7,8,very bright,very bright,"heavy, medium"
Acacia monticola,20,32,250,450,16,16,---,---,6,7,very bright,very bright,"heavy, medium, light"
Acacia murrayana,12,34,200,400,21,21,---,---,5.5,7.5,very bright,very bright,light
Acacia neriifolia,22,32,600,700,23,23,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Acacia nilotica,19,34,400,1200,-,-,---,---,6.5,8,very bright,very bright,"heavy, medium, light"
Acacia oraria,22,32,1500,2000,14,8,---,---,5,6.5,very bright,clear skies,light
Acacia pachyacra,12,30,200,300,22,22,---,---,6,7,very bright,very bright,"medium, light"
Acacia parchcarpa,25,37,225,300,19,19,---,---,6.5,7.5,very bright,very bright,heavy
Acacia pendula,20,30,400,700,20,20,---,---,7,8,very bright,very bright,"heavy, medium"
Acacia plectocarpa,22,35,600,1400,11,11,---,---,5,6,very bright,very bright,light
Acacia podalyriifolia,18,32,700,1000,23,23,---,---,5,6,very bright,clear skies,"medium, light"
Acacia polystachya,24,32,1200,2000,10,10,---,---,5,6,very bright,clear skies,light
Acacia pruinocarpa,22,35,200,250,19,19,---,---,6,7,very bright,very bright,light
Acacia pycnantha,20,28,1000,1600,30,30,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Acacia rothii,24,34,1400,1600,11,11,---,---,5,6.5,very bright,clear skies,"medium, light"
Acacia salicina,24,30,400,600,20,19,---,---,6,8,very bright,cloudy skies,"heavy, medium"
Acacia saligna,20,32,400,700,28,25,---,---,5.5,7,very bright,cloudy skies,"medium, light"
Acacia senegal,24,32,300,800,11,11,---,---,5,7,very bright,clear skies,"medium, light"
Acacia seyal,24,32,1000,1700,-,-,---,---,6.5,7.5,very bright,clear skies,heavy
Acacia shirleyi,18,36,500,650,14,14,---,---,4.5,6.5,very bright,very bright,light
Acacia silvestris,15,25,800,1000,35,35,---,---,6,7,very bright,clear skies,"medium, light"
Acacia simsii,22,32,1000,1600,3,3,---,---,5,6,very bright,clear skies,light
Acacia stenophylla,18,32,200,600,23,17,---,---,7,8,very bright,very bright,heavy
Acacia synchronicia,18,28,300,600,16,16,---,---,7,8,very bright,very bright,"heavy, medium"
Acacia tephrina,22,38,400,500,18,18,---,---,7,8,very bright,very bright,"heavy, medium"
Acacia tortilis,28,45,300,800,15,15,---,---,6.5,7.5,very bright,very bright,"medium, light"
Acacia torulosa,22,36,400,700,11,11,---,---,5,7.5,very bright,clear skies,light
Acacia trachycarpa,22,32,250,350,20,20,---,---,7,8,very bright,very bright,"medium, light"
Acacia tumida,22,36,400,1000,11,11,---,---,7,8,very bright,clear skies,light
Acacia victoriae,12,32,300,800,14,14,---,---,6,7.5,very bright,clear skies,"heavy, medium, light"
Acacia xiphohylla,24,36,200,250,23,21,---,---,7,8,very bright,very bright,heavy
Acanthosicyos naudinianus,15,30,150,500,12,10,---,---,6,6.5,clear skies,very bright,light
Acanthus ilicifolius,18,26,1500,2500,-,-,---,---,6.8,7.2,very bright,clear skies,heavy
Acanthus mollis,15,30,500,800,30,30,---,---,5,7,light shade,cloudy skies,medium
Acca sellowiana,18,21,750,1500,12,10,---,---,5.5,7,clear skies,very bright,"medium, organic"
Acehmea magdalenae,24,30,900,1300,-,-,---,---,5.5,6.5,very bright,light shade,"light, organic"
Acer caesium,15,21,1000,1800,20,20,---,---,4.5,5.5,very bright,clear skies,medium
Acer saccharum,14,24,700,1300,-,-,---,---,6,6.5,very bright,clear skies,medium
Achnatherum splendens,8,15,300,400,25,25,---,---,7,8,very bright,clear skies,"medium, light"
Acmena smithii,18,28,1000,1700,11,11,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Acorus calamus,18,26,7000,2000,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Acrocarpus fraxinifolius,28,35,1200,1500,23,23,---,---,5.5,6.5,very bright,clear skies,medium
Acroceras macrum,16,26,800,1500,-,-,---,---,4.8,5.8,clear skies,cloudy skies,"heavy, medium, light"
Acrocomia aculeata,25,35,1000,2000,-,-,---,---,5.5,6.5,very bright,very bright,light
Acrocomia totai,22,28,900,1500,12,10,---,---,5.5,6.5,clear skies,very bright,light
Actinidia arguta,12,25,900,1500,27,25,---,---,5,6.5,cloudy skies,very bright,"medium, light, organic"
Adansonia digitata,26,36,600,1500,-,-,---,---,5,6.5,very bright,very bright,"medium, light"
Adansonia grandidieri,22,30,1000,1500,13,12,---,---,5.5,7,clear skies,very bright,"medium, organic"
Adansonia gregorii,24,34,600,1500,14,14,---,---,5,6.5,very bright,very bright,light
Adina cordifolia,25,35,1000,2000,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Adonis vernalis,14,30,400,750,44,42,---,---,7,7.5,cloudy skies,very bright,"medium, light"
Aegiceras corniculatum,18,26,1000,2000,-,-,---,---,6.8,7.2,very bright,very bright,heavy
Aegle marmelos,30,42,800,2000,-,-,---,---,6,7.5,very bright,cloudy skies,heavy
Aeschynomene falcata,20,25,1000,1500,15,-,---,---,5.5,6,clear skies,clear skies,"heavy, medium, light"
Aeschynomene indica,18,30,1000,1200,5,-,---,---,5.5,6.5,clear skies,clear skies,"heavy, medium"
Aesculus indica,23,26,1000,2000,26,25,---,---,4.5,5,clear skies,light shade,"medium, light"
Aframomum corrorima,16,24,1400,2000,5,-,---,---,5.5,6.5,cloudy skies,light shade,"medium, organic"
Aframomum melegueta,21,28,1500,1900,5,-,---,---,5.5,6.5,clear skies,cloudy skies,"heavy, medium"
Afzelia africana,20,32,1200,1800,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Afzelia quanzensis,18,28,700,1400,-,-,---,---,5,7,clear skies,very bright,light
Agathis dammara,28,34,2500,3500,-,-,---,---,5.5,6.5,very bright,cloudy skies,"heavy, medium, light"
Agathis labillardieri,24,32,2500,4000,12,10,---,---,5,6,very bright,clear skies,"light, organic"
Agathis microstachya,22,30,2000,2700,17,15,---,---,5,6,very bright,clear skies,"heavy, medium"
Agave cantala,17,30,1000,2000,-,-,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Agave fourcroydes,15,30,900,1250,15,15,---,---,6.5,7.5,very bright,very bright,"medium, light"
Agave lecheguilla,15,25,450,600,20,20,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light"
Agropyron cristatum,15,25,250,400,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Agropyron dasystachyum,15,25,400,700,30,30,---,---,5.5,7,very bright,clear skies,light
Agropyron desertorum,15,20,250,400,35,35,---,---,5.8,6.5,very bright,cloudy skies,"medium, light"
Agropyron elongatum,12,20,350,600,30,30,---,---,6.5,8,very bright,clear skies,"heavy, medium, light"
Agropyron mongolicum,12,20,150,300,30,35,---,---,7,8,very bright,very bright,"heavy, medium, light"
Agropyron repens,10,20,550,750,-,-,---,---,6,6.5,very bright,clear skies,"heavy, medium, light"
Agropyron riparium,10,18,500,800,-,-,---,---,6,7,very bright,clear skies,light
Agropyron sibiricum,15,20,200,600,-,-,---,---,6,7,very bright,clear skies,light
Agropyron smithii,7,20,400,600,35,35,---,---,6.5,8,very bright,clear skies,heavy
Agropyron spicatum,12,20,250,500,-,-,---,---,6,7,very bright,cloudy skies,"medium, light"
Agropyron tauri,15,20,350,600,-,-,---,---,7,8,very bright,clear skies,"heavy, medium, light"
Agropyron trachycaulum,13,22,500,700,-,-,---,---,6,7,very bright,clear skies,"medium, light"
Agropyron trichophorum,15,20,250,600,-,-,---,---,6.5,7.5,very bright,clear skies,"heavy, medium, light"
Agrostis canina,9,20,500,900,42,40,---,---,4.5,6.5,very bright,clear skies,"heavy, medium, organic"
Agrostis gigantea,12,21,500,900,42,40,---,---,5,7,very bright,clear skies,"heavy, medium, light"
Agrostis tenuis,10,20,400,800,35,30,---,---,4.5,7.5,very bright,clear skies,"heavy, medium"
Agrostis trinii,8,15,200,500,40,40,---,---,4.5,5.5,very bright,clear skies,"medium, light"
Ailanthus altissima,14,28,400,600,30,30,---,---,5,7,very bright,cloudy skies,"heavy, medium, light"
Ailanthus excelsa,20,40,600,1900,10,10,---,---,5,6,very bright,very bright,"medium, light"
Ailanthus grandis,30,38,3000,4000,10,10,---,---,5,6,very bright,very bright,medium
Albizia adianthifolia,22,28,1500,2500,-,-,---,---,4.5,6.5,clear skies,very bright,"medium, light"
Albizia chevalieri,24,30,600,900,12,10,---,---,5.5,6.5,clear skies,very bright,light
Albizia chinensis,22,32,2500,3500,-,-,---,---,5.5,7.3,very bright,clear skies,"heavy, medium, light"
Albizia lophantha,18,26,700,1000,30,30,---,---,7,7.5,very bright,clear skies,light
Albizia lucida,20,34,2000,2400,25,25,---,---,5.5,6.5,clear skies,cloudy skies,medium
Albizia odoratissima,24,37,1000,1500,20,20,---,---,5.5,6.5,very bright,cloudy skies,"heavy, medium, light"
Albizia pullenii,24,30,2500,3000,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium, light"
Albizia toona,22,32,1000,1750,10,10,---,---,5.5,6.5,very bright,clear skies,light
Allium chinense,15,26,1500,2500,30,10,---,---,5.5,6.5,very bright,clear skies,light
Alnus acuminata,15,28,1500,2500,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, organic"
Alnus japonica,18,32,1500,2000,20,20,---,---,5,6.5,very bright,cloudy skies,medium
Alnus nepalensis,15,28,1000,2000,15,15,---,---,5.5,7,very bright,cloudy skies,medium
Alnus rubra,17,32,1000,2000,30,30,---,---,5.5,7,very bright,very bright,medium
Aloe arborescens,18,26,400,1500,22,20,---,---,5,6.5,clear skies,very bright,"medium, light"
Aloe barbadensis,19,27,1900,3000,-,-,---,---,6.5,7.5,very bright,very bright,medium
Aloe ferox,18,26,500,600,20,20,---,---,6.5,7,very bright,clear skies,light
Aloe perryi,22,27,400,700,-,-,---,---,6.5,7,very bright,clear skies,light
Alopecurus arundinaceus,9,18,500,800,-,-,---,---,6,6.5,very bright,cloudy skies,medium
Alopecurus geniculatus,10,15,600,1000,37,35,---,---,4.5,7,clear skies,very bright,"heavy, organic"
Alopecurus pratensis,9,22,600,1000,28,28,---,---,5,7.5,very bright,clear skies,medium
Aloysia triphylla,18,28,600,1800,20,10,---,---,5.5,7,clear skies,very bright,medium
Alpinia galanga,27,32,2500,3000,-,-,---,---,5.5,6.5,clear skies,light shade,"heavy, medium, light"
Alpinia officinarum,19,27,1500,3000,20,20,---,---,4.5,5.5,clear skies,light shade,"heavy, medium, light"
Altingia excelsa,20,32,2000,3000,-,-,---,---,5,6,very bright,clear skies,"heavy, medium"
Alysicarpus rugosus,22,30,900,1400,5,-,---,---,6,7,clear skies,very bright,"heavy, medium"
Alysicarpus vaginalis,22,30,1000,2000,-,-,---,---,5.5,6.5,clear skies,clear skies,"medium, light"
Amaranthus hybridus,12,30,400,600,-,-,---,---,6.5,7.5,very bright,very bright,medium
Amaranthus hypochondriacus,19,23,1000,1600,10,10,---,---,6,7,clear skies,clear skies,"heavy, medium, light, organic"
Aronia alnifolia,15,20,650,1100,37,35,---,---,5.5,7,cloudy skies,very bright,"medium, light"
Ammandra natalia,21,26,2500,4500,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Ammophila arenaria,9,20,700,900,35,35,---,---,5,6,very bright,clear skies,light
Ammophila breviligulata,9,18,800,1000,40,40,---,---,5,6,very bright,clear skies,light
Andropogon gayanus,22,28,750,1400,-,-,---,---,4.5,6.5,very bright,clear skies,medium
Andropogon gerardii var. gerardii,10,20,700,1200,35,35,---,---,5.5,6.5,very bright,very bright,medium
Andropogon hallii,10,20,700,900,30,30,---,---,6,7,very bright,very bright,light
Angelica archangelica,5,19,700,1100,60,50,---,---,5.5,6.5,very bright,clear skies,"medium, organic"
Angophora costata,18,28,800,1000,21,21,---,---,5.5,6.5,very bright,very bright,light
Angophora floribunda,18,30,650,850,23,23,---,---,5.5,6.5,very bright,very bright,"medium, light"
Anisoptera scaphula,20,33,2000,3000,-,-,---,---,5,6,very bright,clear skies,"heavy, medium"
Annona atemoya,24,28,2000,3000,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Annona montana,16,26,900,1700,10,-,---,---,5.5,7,very bright,clear skies,"medium, light"
Annona scleroderma,23,26,3500,4500,10,-,---,---,5.5,6.5,clear skies,very bright,medium
Annona senegalensis,17,30,700,2500,-,-,---,---,5.5,7,cloudy skies,very bright,"medium, light"
Anogeissus acuminata,22,32,1500,2500,-,-,---,---,5,6.5,very bright,clear skies,"medium, light"
Anogeissus latifolia,22,33,800,1400,10,10,---,---,5.5,6.5,very bright,very bright,"medium, light"
Anogeissus pendula,25,35,500,800,-,-,---,---,6,7,very bright,cloudy skies,"medium, light"
Anthemis nobilis,15,26,600,1000,30,30,---,---,6,7,very bright,very bright,"medium, organic"
Anthephora pubescens,16,28,350,600,20,15,---,---,5.8,7.2,very bright,very bright,"medium, light"
Anthocephalus macrophyllus,20,32,2500,4000,-,-,---,---,5.5,6.5,very bright,very bright,medium
Anthocleista nobilis,22,30,1100,2000,5,5,---,---,5.5,6.5,very bright,very bright,"heavy, medium, light"
Anthriscus cerefolium,7,21,600,1100,40,40,---,---,6,7,cloudy skies,light shade,"heavy, medium, light"
Anthyllis vulneraria,14,20,600,900,25,20,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Apios americana,10,20,1000,1200,30,25,---,---,5,7.5,clear skies,very bright,medium
Apium graveolens var. rapaceum,15,25,1000,1200,35,35,---,---,6,6.8,very bright,cloudy skies,"medium, organic"
Aquilaria malaccensis,18,24,-,-,-,-,---,---,6.5,7.5,,,light
Arachis glabrata,20,28,1000,2000,13,-,---,---,5,6,very bright,very bright,"heavy, medium, light"
Arachis pintoi,22,28,1500,2000,12,-,---,---,5.4,6,cloudy skies,light shade,"medium, light"
Araucaria angustifolia,18,23,1500,2000,19,19,---,---,5.5,6.5,very bright,very bright,medium
Araucaria bidwillii,18,28,1200,1700,16.3,16.3,---,---,5,6.5,very bright,cloudy skies,"heavy, medium"
Araucaria hunsteinii,24,32,2000,3000,5,5,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Archidendron jiringa,20,30,2000,3000,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Archontophoenix cunningham,20,28,1100,1400,25,25,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Arenga pinnata,22,28,3000,3500,-,-,---,---,6,7,very bright,clear skies,"heavy, medium"
Argania sideroxylon,20,30,200,300,20,20,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light, wide"
Argyrodendron actinophyllum,18,28,1100,1400,27,27,---,---,5,6.5,very bright,clear skies,light
Argyrodendron peralatum,20,30,2000,3000,15.5,15.5,---,---,5,6,very bright,very bright,medium
Aristida adscensionis,18,28,300,400,-,-,---,---,7,8,very bright,very bright,light
Aristida ciliata,20,26,250,400,30,30,---,---,7,8,very bright,very bright,light
Aristida lanata,20,26,250,400,34,34,---,---,7,8,very bright,very bright,light
Aristida latifolia,22,30,400,500,15,10,---,---,7,7.5,very bright,very bright,heavy
Aristida obtusa,20,26,200,300,15,15,---,---,7,8,very bright,very bright,light
Aristida pennata,20,26,250,400,25,25,---,---,7,8,very bright,very bright,light
Aristida plumosa,20,26,250,400,28,28,---,---,7,8,very bright,very bright,light
Aristida pungens,20,26,200,400,10,10,---,---,7,8,very bright,very bright,light
Aristida raddiana,20,26,250,400,27,27,---,---,7,8,very bright,very bright,light
Armoracia rusticana,14,20,600,900,20,10,---,---,6,7,very bright,very bright,"medium, light"
Arnica montana,8,15,500,800,45,38,---,---,5.5,7,cloudy skies,light shade,medium
Arracacia xanthorrhiza,14,21,800,1200,-,-,---,---,5,6,very bright,clear skies,"light, organic"
Arrhenatherum elatius,14,25,500,900,20,20,---,---,5.5,6.5,very bright,cloudy skies,"heavy, medium, light"
Artemisia abrotanum,11,22,500,900,35,35,---,---,5.5,6,very bright,clear skies,medium
Artemisia afra,22,30,550,750,-,-,---,---,5.5,6,very bright,very bright,"medium, light"
Artemisia annua,13,29,600,1300,32,30,---,---,6,8,clear skies,very bright,"medium, light"
Artemisia dracunculus,12,22,500,1000,30,30,---,---,5.5,7,very bright,very bright,"medium, light"
Artocarpus altilis,21,33,1500,3000,-,-,---,---,5.5,6.5,very bright,light shade,"heavy, medium, light, organic"
Artocarpus chaplasha,22,32,3000,4000,20,20,---,---,5,6.5,very bright,clear skies,medium
Artocarpus hirsutus,22,32,2500,3500,10,8,---,---,5,6.5,very bright,clear skies,"heavy, medium, light"
Artocarpus integer,22,38,2200,3500,-,-,---,---,4.5,6,clear skies,light shade,"heavy, medium, light"
Artocarpus lakoocha,22,32,1500,3000,20,20,---,---,5,6.5,very bright,clear skies,medium
Arundinaria pusilla,16,28,1000,1400,13,13,---,---,5.5,6.3,very bright,light shade,"medium, light"
Arundinella hirta,17,30,250,1500,41,37,---,---,6,8,very bright,clear skies,"medium, light"
Asclepias tuberosa,14,24,400,800,28,27,---,---,5,7,clear skies,very bright,light
Asparagus densiflorus,21,27,1000,1400,25,25,---,---,6,7,very bright,very bright,medium
Astragalus cicer,14,25,600,800,40,35,---,---,6,7,very bright,cloudy skies,"medium, light"
Astragalus gummifer,15,22,250,450,-,-,---,---,7,8,very bright,very bright,light
Astragalus sinicus,15,25,500,1000,24,22,---,---,5,7,clear skies,very bright,"heavy, medium"
Astrebla elymoides,25,32,250,550,18,18,---,---,7,8,very bright,very bright,heavy
Astrebla lappacea,25,32,250,550,18,18,---,---,7,8,very bright,very bright,heavy
Astrebla pectinata,23,30,250,550,18,18,---,---,7,8,very bright,very bright,heavy
Astrebla squarrosa,25,32,250,550,18,18,---,---,7,8,very bright,very bright,heavy
Astrocaryum jauari,24,28,1800,2300,-,-,---,---,4.5,5.5,very bright,clear skies,"heavy, medium, light"
Astrocaryum vulgare,20,28,1300,1800,-,-,---,---,5,7,cloudy skies,very bright,medium
Atalaya hemiglauca,18,39,250,600,14,14,---,---,6,7.5,very bright,very bright,"medium, light"
Atherosperma moschatum,14,20,1300,1700,23,32,---,---,5,6,very bright,clear skies,"heavy, medium"
Athrotaxis selaginoides,15,22,1500,2500,41.5,41.5,---,---,4.5,6,very bright,clear skies,"medium, organic"
Atriplex canescens,12,17,250,450,-,-,---,---,7.6,7.9,very bright,very bright,"medium, light"
Atriplex confertifolia,12,30,150,250,25,20,---,---,7.5,8,very bright,very bright,"heavy, medium"
Atriplex gardneri,12,17,150,300,35,30,---,---,7,7.5,very bright,very bright,"heavy, medium"
Atriplex glauca,16,28,300,450,-,-,---,---,7.2,7.8,very bright,very bright,"heavy, medium"
Atriplex halimus,16,28,300,700,25,25,---,---,7.2,7.8,very bright,very bright,"heavy, medium"
Atriplex hortensis,12,28,500,800,42,36,---,---,6.5,7.5,very bright,very bright,light
Atriplex lentiformis,12,24,200,250,20,20,---,---,7,8,very bright,very bright,heavy
Atriplex nummularia,16,28,200,600,25,25,---,---,7.5,8,very bright,very bright,"heavy, medium"
Atriplex vesicaria,16,28,400,600,-,-,---,---,7.2,7.8,very bright,very bright,"heavy, medium, light"
Attalea cohune,22,28,1500,3000,10,9,---,---,5,7,clear skies,very bright,light
Attalea funifera,22,25,1800,2000,13,13,---,---,5,5.5,very bright,clear skies,"medium, light"
Aucoumea klaineana,28,36,2000,2500,-,-,---,---,5,6,very bright,very bright,"heavy, medium, light"
Avena byzantina,18,24,600,900,20,20,---,---,5.5,7,very bright,very bright,"heavy, medium, light"
Avena fatau,12,20,600,1000,-,-,---,---,5,6.5,very bright,very bright,"heavy, medium, light"
Avena nuda,16,22,600,1100,42,40,---,---,5.5,7.7,clear skies,very bright,"heavy, medium"
Avena sterilis,12,32,500,800,-,-,---,---,6.5,7.5,very bright,clear skies,"heavy, medium, light"
Avicennia germinans,20,30,1500,2500,10,10,---,---,6.5,7,very bright,clear skies,heavy
Avicennia marina,20,34,1500,2500,-,-,---,---,6.5,7,very bright,very bright,heavy
Axonopus affinis,27,32,1000,1800,10,10,---,---,4.8,5.6,very bright,clear skies,"medium, light, organic"
Axonopus scoparius,18,28,1500,2000,-,-,---,---,5.5,6.5,very bright,clear skies,"light, organic"
Azadirachta indica,26,40,450,1200,-,-,---,---,5.5,7,very bright,clear skies,"heavy, medium, light"
Azanza garckeana,15,30,250,750,-,-,---,---,5,7,very bright,very bright,"medium, light"
Azolla pinnata,20,35,-,-,-,-,---,---,4,10,light shade,cloudy skies,
Baccaurea motleyana,24,28,1500,3500,-,-,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Baccaurea racemosa,21,28,2500,2500,-,-,---,---,5,5.5,very bright,clear skies,"heavy, medium, light"
Baccaurea ramiflora,24,28,1500,3500,-,-,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Balanites aegyptiaca,20,35,300,800,-,-,---,---,7,8,very bright,very bright,"heavy, medium"
Bambusa arundinacea,22,30,1200,2500,15,-,---,---,4.5,6.5,cloudy skies,light shade,"heavy, medium"
Bambusa balcooa,22,28,2300,3000,15,-,---,---,5,6,clear skies,cloudy skies,"heavy, medium"
Bambusa blumeana,18,32,1500,4000,-,-,---,---,5,6.5,clear skies,very bright,heavy
Bambusa longispiculata,22,28,2300,3000,15,-,---,---,5,6,clear skies,cloudy skies,"heavy, medium"
Bambusa nutans,22,28,2300,3000,15,-,---,---,6,7,clear skies,cloudy skies,heavy
Bambusa polymorpha,22,28,1200,2500,15,-,---,---,5,6,cloudy skies,light shade,"heavy, medium"
Bambusa tulda,22,28,1200,2500,15,-,---,---,5,6,cloudy skies,light shade,"heavy, medium"
Banksia integrifolia,18,32,850,1600,16,61,---,---,5,6.5,very bright,clear skies,"medium, light"
Baphia nitida,24,30,1500,2400,5,-,---,---,5,5.5,very bright,cloudy skies,medium
Bassia latifolia,20,30,1000,1600,5,5,---,---,6,7,very bright,very bright,light
Bauhinia esculenta,24,30,800,1200,-,-,---,---,6,7,very bright,cloudy skies,light
Bauhinia racemosa,24,36,1000,1800,15,15,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Bauhinia rufescens,30,40,400,1000,-,-,---,---,5.5,7.5,clear skies,very bright,"heavy, medium, light"
Beckmannia eruciformis,11,20,500,1300,32,30,---,---,5.8,7.2,cloudy skies,very bright,"medium, light"
Beckmannia syzigachne,9,20,500,800,40,40,---,---,6,7,very bright,very bright,medium
Berchemia discolor,14,30,400,1000,-,-,---,---,5,7,clear skies,very bright,"heavy, medium, light, wide"
Berrya cordifolia,26,32,2700,3300,15,15,---,---,6,7,very bright,cloudy skies,medium
Bertholletia excelsa,20,36,2400,2800,-,-,---,---,5.5,7,clear skies,cloudy skies,"heavy, medium"
Beta vulgaris var. crassa,15,25,800,1500,30,10,---,---,6,6.8,very bright,clear skies,"medium, light"
Beta vulgaris var. flavescens,20,30,500,750,30,10,---,---,6,7,very bright,very bright,"medium, organic"
Betula pubescens,10,18,400,900,44,40,---,---,4.5,7.5,clear skies,very bright,"medium, organic"
Boehmeria nivea,17,27,1500,2500,9,6,---,---,5.4,6.5,very bright,cloudy skies,"medium, organic"
Boesenbergia rotunda,18,30,1200,3000,-,-,---,---,6,7,cloudy skies,clear skies,"medium, light, organic"
Bombacopsis quinata,21,32,1000,1600,2,2,---,---,5.5,7,very bright,very bright,"heavy, medium, light"
Bombax ceiba,28,42,750,4000,5,5,---,---,5.5,6.5,very bright,very bright,medium
Bombax insigne,30,35,1500,2500,5,5,---,---,6,6.5,very bright,very bright,light
Borago officinalis,15,22,500,1000,30,20,---,---,6.5,7.5,very bright,very bright,"heavy, organic"
Borassus flabellifer,24,32,1000,1500,-,-,---,---,7,7.5,very bright,very bright,light
Borojoa patinoi,20,28,3000,6000,1,-,---,---,4.5,6.5,cloudy skies,clear skies,"heavy, medium"
Boswellia serrata,33,42,1000,1500,5,5,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Bothriochloa insculpta,15,25,600,1000,-,-,---,---,6,7,very bright,clear skies,"heavy, medium"
Bothriochloa pertusa,14,27,600,1000,10,10,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Bougainvillea glabra,18,25,1000,2000,-,-,---,---,6,7,clear skies,very bright,medium
Bouteloua curtipendula,13,22,600,1000,-,-,---,---,6,7,very bright,cloudy skies,light
Bouteloua gracilis,12,27,500,900,10,-,---,---,5.5,7,very bright,cloudy skies,light
Brachiaria dura,30,35,875,1000,14,14,---,---,5,6,clear skies,light shade,light
Brachiaria radicans,22,28,1500,2000,20,-,---,---,4.5,5,very bright,very bright,medium
Brachiaria ramosa,17,26,500,800,-,-,---,---,7,7.5,very bright,light shade,light
Brachychiton acerifolius,26,32,1400,1900,15,13,---,---,6,7,very bright,clear skies,medium
Brachystegia spiciformis,14,28,600,1100,-,-,---,---,5.5,7,very bright,very bright,"medium, light"
Brassica campestris,17,30,700,1000,-,-,---,---,6,7,very bright,very bright,"heavy, medium, light"
Brassica carinata,10,25,1000,1500,-,-,---,---,5.5,8,,,"medium, organic"
Brassica napus var. napobrassica,14,24,700,1000,-,-,---,---,5.5,7,very bright,cloudy skies,"medium, light"
Brassica oleracea var. acephala,15,22,450,1000,20,-,---,---,5.4,6,clear skies,clear skies,"heavy, medium, light, organic"
Brassica rapa Gaisin gr.,20,25,900,1400,20,20,---,---,5.5,6.5,clear skies,clear skies,"medium, light"
